speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	style	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C
073	i:	073-F-BHC2	BHC2	1996	male	346.1759649	tiid	t	d	spon	95.911521	23.97788025	348.0513959	2122.71108	2740.021391	47.9557605	303.4000433	1879.233423	2256.439202	71.93364075	321.1611274	2128.367644	2806.721075
073	i:	073-F-BHC2	BHC2	1996	male	374.9823321	tiid	t	t	spon	145.904205	36.47605125	306.8323147	2119.393178	2790.198705	72.9521025	273.9937826	2155.851973	3106.421078	109.4281538	307.6534114	2025.549294	2302.006196
073	i:	073-F-BHC2	BHC2	1996	male	935.875611	tiid	t	t	spon	150.132378	37.5330945	296.2939299	2157.636339	2897.793178	75.066189	305.8133025	2171.917498	3046.388758	112.5992835	322.9920307	2190.337978	2739.755047
073	i:	073-F-BHC2	BHC2	1996	male	994.3296931	tiid	t	t	spon	120.312291	30.07807275	268.0410802	2146.90472	2755.74703	60.1561455	261.9257269	2193.851972	2691.535612	90.23421825	261.3052419	2178.33488	2703.090433
073	i:	073-F-BHC2	BHC2	1996	male	1064.999463	tiid	t	d	spon	116.444951	29.11123775	325.6756827	2155.286375	2348.510012	58.2224755	324.1885501	2192.836873	2988.557006	87.33371325	300.8296629	1915.177164	2275.314425
073	i:	073-F-BHC2	BHC2	1996	male	1078.903921	fiif	f	v	spon	119.130845	29.78271125	298.0329499	2029.429964	2941.486131	59.5654225	303.3095868	2123.557641	3027.054528	89.34813375	285.2028609	2054.208177	2441.163068
073	i:	073-F-BHC2	BHC2	1996	male	1088.435695	tiid	t	t	spon	150.147068	37.536767	325.9573663	2035.621567	2606.478286	75.073534	310.2767428	2124.899226	2523.850603	112.610301	284.1988092	2096.156833	2687.751823
073	i:	073-F-BHC2	BHC2	1996	male	1205.292905	eartiids	t	t	spon	173.67091	43.4177275	333.1580897	2126.145207	2859.070185	86.835455	346.1678275	2144.742617	2454.37708	130.2531825	285.3427301	2077.336114	2871.629047
073	i:	073-F-BHC2	BHC2	1996	male	1267.241836	fiif	f	v	spon	192.846129	48.21153225	294.0299705	2169.805103	2668.215675	96.4230645	264.6629494	2211.332237	3329.820451	144.6345968	254.7686053	2185.8182	3386.406775
073	i:	073-F-BHC2	BHC2	1996	male	1272.284001	tiid	t	d	spon	104.803698	26.2009245	281.9238666	2173.274552	2764.189526	52.401849	295.9439541	2193.766879	2779.079322	78.6027735	282.8095232	2176.89346	2451.261749
090	i:	090-F-BHC2	BHC2	1980	female	672.9384921	fiif	f	f	spon	135.194135	33.79853375	437.733158	2446.442244	2982.627121	67.5970675	472.5390344	2507.629055	2981.014412	101.3956013	451.4710191	2376.630347	2899.243366
090	i:	090-F-BHC2	BHC2	1980	female	714.4282152	fiif	f	v	spon	149.866766	37.4666915	407.7895399	2484.217187	3100.887273	74.933383	385.8360839	2597.702819	2986.876222	112.4000745	358.7493133	2506.309951	2917.145448
090	i:	090-F-BHC2	BHC2	1980	female	835.6639718	betiid	t	t	spon	145.684449	36.42111225	413.2114339	2599.221772	2661.732493	72.8422245	397.0936088	2572.887077	2708.352283	109.2633368	397.1340641	2493.832265	2657.911117
093	i:	093-F-BHC2	BHC2	1986	female	596.423927	tiid	t	t	spon	182.416018	45.6040045	385.1315939	2494.557074	2921.724013	91.208009	368.6307198	2569.129746	2949.768354	136.8120135	355.373465	2522.86597	2903.480559
096	i:	096-F-BHC2	BHC2	2000	female	733.087337	tiidsje	t	t	spon	103.065485	25.76637125	400.8920165	2337.682341	2895.760491	51.5327425	394.3089524	2492.942207	2987.41447	77.29911375	401.5159073	2684.810387	3120.910321
096	i:	096-F-BHC2	BHC2	2000	female	1215.215393	fiif	f	f	spon	186.749457	46.68736425	427.9471187	2548.92821	3440.730705	93.3747285	438.2432625	2536.237988	3413.475131	140.0620928	408.9161064	2515.377795	3361.488967
096	i:	096-F-BHC2	BHC2	2000	female	1233.931341	fiif	f	v	spon	144.992085	36.24802125	423.4995302	2226.018029	2969.766831	72.4960425	403.8318228	1834.448552	2642.196007	108.7440638	379.8478251	2088.884647	2659.24584
096	i:	096-F-BHC2	BHC2	2000	female	1456.574756	tiid	t	t	spon	166.514693	41.62867325	365.1984631	2452.695251	3170.395288	83.2573465	363.8594334	2608.821022	2666.956863	124.8860198	364.2075859	2439.385531	3236.045028
096	i:	096-F-BHC2	BHC2	2000	female	1583.673962	tiisdeitejûns	t	s	spon	127.319156	31.829789	386.7928725	2574.753612	2935.89185	63.659578	402.8525572	2590.098448	3025.523661	95.489367	451.5673465	2603.124256	2947.20729
096	i:	096-F-BHC2	BHC2	2000	female	1638.328207	tiid	t	t	spon	153.044506	38.2611265	483.2531497	2210.188389	2495.601995	76.522253	446.9413407	2362.54874	3036.928615	114.7833795	420.9451078	2226.857164	2807.466886
096	i:	096-F-BHC2	BHC2	2000	female	1662.246629	fiif	f	v	spon	164.077976	41.019494	426.3110276	2480.933289	3086.698835	82.038988	420.7649725	2506.053866	3067.955193	123.058482	409.1470944	2419.063416	2703.199443
096	i:	096-F-BHC2	BHC2	2000	female	1667.133895	fiif	f	v	spon	155.326335	38.83158375	417.0227288	2492.311858	3311.812316	77.6631675	423.0299618	2555.485581	3129.670875	116.4947513	412.3853709	1754.360411	2788.58954
096	i:	096-F-BHC2	BHC2	2000	female	1955.565611	tiid	t	t	spon	148.363948	37.090987	351.3505764	2366.924718	2942.341336	74.181974	348.2704965	2454.198016	2971.804199	111.272961	348.5562274	2379.763473	2952.953059
099	i:	099-F-BHC2	BHC2	1998	female	726.2815012	tiid	t	t	spon	249.140331	62.28508275	384.2473417	2901.646956	3499.155102	124.5701655	412.0251199	2594.856629	3463.096642	186.8552483	435.9725304	1825.961453	2614.083655
099	i:	099-F-BHC2	BHC2	1998	female	1253.831066	tiid	t	t	spon	162.075161	40.51879025	347.0748275	2319.525053	3127.266538	81.0375805	348.0980431	2437.027072	3040.879688	121.5563708	466.5008856	2271.232242	2899.239088
099	i:	099-F-BHC2	BHC2	1998	female	2502.847244	bliid	l	d	spon	131.267486	32.8168715	404.6443377	2407.693765	2915.964902	65.633743	407.8516635	2373.887691	2885.612555	98.4506145	419.6204004	2234.584234	2843.400907
099	i:	099-F-BHC2	BHC2	1998	female	2560.842528	tiid	t	t	spon	143.322663	35.83066575	430.276477	2456.579789	3164.321773	71.6613315	429.3231382	2445.782279	2981.386127	107.4919973	462.9913158	2208.698603	2828.832375
099	i:	099-F-BHC2	BHC2	1998	female	2177.960456	bliid	l	t	spon	117.984467	29.49611675	435.8580878	2289.029836	2777.950943	58.9922335	438.8911103	2406.961077	2918.437649	88.48835025	395.6124938	2261.688793	2789.274417
099	i:	099-F-BHC2	BHC2	1998	female	2208.490072	fiif	f	v	spon	206.61565	51.6539125	363.5987029	2419.436989	3265.448122	103.307825	403.7637748	2512.648827	3225.826397	154.9617375	355.1835733	2520.542239	2988.843482
099	i:	099-F-BHC2	BHC2	1998	female	2229.42333	fiif	f	v	spon	155.280766	38.8201915	324.6475888	2344.441587	3060.180258	77.640383	419.2663681	2510.005781	3088.170023	116.4605745	421.0858598	2439.737675	3074.451629
102	i:	102-F-BHC2	BHC2	2000	female	920.1102796	tiid	t	t	spon	125.80259	31.4506475	401.4189945	2362.950526	3063.636866	62.901295	421.4774621	2356.917542	2881.326684	94.3519425	454.5192619	2158.044709	2887.904726
102	i:	102-F-BHC2	BHC2	2000	female	926.6794574	tiid	t	t	spon	168.760324	42.190081	407.7471057	2370.238344	2900.39998	84.380162	412.7139888	2432.371972	2953.104716	126.570243	425.0338724	2172.578583	2746.424624
102	i:	102-F-BHC2	BHC2	2000	female	931.8648859	tiid	t	t	spon	161.492382	40.3730955	412.6503882	2411.555982	3011.103716	80.746191	402.3509956	2390.505764	2916.771161	121.1192865	400.9195094	2100.340535	2761.488533
102	i:	102-F-BHC2	BHC2	2000	female	1854.378286	betiid	t	t	spon	232.95142	58.237855	331.3566061	2472.327542	3205.867004	116.47571	388.6290876	2371.715788	3083.875997	174.713565	421.0504252	2058.852153	2825.243967
102	i:	102-F-BHC2	BHC2	2000	female	2189.163831	tiid	t	t	spon	191.520879	47.88021975	419.9591344	2334.728605	2948.971775	95.7604395	419.7133881	2317.754283	2910.299087	143.6406593	454.0845217	2090.585512	2711.936353
102	i:	102-F-BHC2	BHC2	2000	female	1056.154425	tiisdei	t	s	spon	128.496315	32.12407875	418.8821224	2374.562001	3023.0243	64.2481575	419.4200341	2304.514216	2874.966605	96.37223625	422.5514897	2164.187723	2689.028692
102	i:	102-F-BHC2	BHC2	2000	female	1474.140724	tiidsje	t	t	spon	128.544087	32.13602175	374.7394376	2267.071959	2827.139387	64.2720435	372.0167621	2262.257508	3032.810872	96.40806525	375.7073081	2169.496651	2998.094584
102	i:	102-F-BHC2	BHC2	2000	female	1613.920146	fiif	f	f	spon	134.633964	33.658491	405.1746109	2327.668245	2912.722075	67.316982	399.8969035	2311.241531	2939.101463	100.975473	394.5828357	2305.532732	2739.415622
102	i:	102-F-BHC2	BHC2	2000	female	1816.647302	betiid	t	t	spon	168.726551	42.18163775	393.685899	2410.861911	2943.622503	84.3632755	394.1426472	2429.825544	2971.251909	126.5449133	404.2209093	2117.697526	2806.444532
102	i:	102-F-BHC2	BHC2	2000	female	1896.765994	fiif	f	f	spon	138.03862	34.509655	414.319783	2288.33128	2950.492041	69.01931	401.1342034	2373.031098	3082.106564	103.528965	417.5678618	2299.569386	2913.205504
102	i:	102-F-BHC2	BHC2	2000	female	1907.437067	tiid	t	t	spon	95.199043	23.79976075	395.3119699	2325.735242	2933.120898	47.5995215	404.567107	2297.350886	2780.711768	71.39928225	409.3625433	2154.081363	2706.514072
102	i:	102-F-BHC2	BHC2	2000	female	1976.169909	tiisdei	t	s	spon	163.121498	40.7803745	439.7923508	2441.52361	3123.101186	81.560749	432.5089893	2405.482183	3155.284495	122.3411235	430.4866474	2297.00988	3024.447466
105	i:	105-F-BHC2	BHC2	2000	male	1246.756884	fiifde	f	f	spon	206.139208	51.534802	290.1208685	2121.556008	3109.707891	103.069604	298.381926	2244.450259	3054.275574	154.604406	334.2869458	2110.819882	2674.698007
108	i:	108-F-BHC2	BHC2	2001	male	516.6448385	fiif	f	f	spon	115.588426	28.8971065	441.5371247	2088.696855	2487.995605	57.794213	367.9102861	2117.700769	2554.635483	86.6913195	342.9225321	2019.602632	2438.351269
111	i:	111-F-BHC2	BHC2	1996	female	1673.617612	tiid	t	t	spon	138.572411	34.64310275	397.7760387	2665.182489	3441.536631	69.2862055	397.5277133	2635.076086	3382.736334	103.9293083	428.5253691	2535.042853	3210.623717
111	i:	111-F-BHC2	BHC2	1996	female	1029.337368	tiid	t	t	spon	124.72353	31.1808825	416.4848023	2625.869127	3127.905388	62.361765	427.0834316	2699.435662	3365.896346	93.5426475	403.0254213	2693.834338	3151.546516
111	i:	111-F-BHC2	BHC2	1996	female	1210.00476	tiidsje	t	t	spon	100.329102	25.0822755	413.9709968	2691.031806	3483.489769	50.164551	390.2135297	2755.716795	3537.606459	75.2468265	373.6471021	2725.928154	3434.581515
111	i:	111-F-BHC2	BHC2	1996	female	1303.157606	tiidsje	t	t	spon	196.524541	49.13113525	393.8834394	2380.51954	3229.824225	98.2622705	443.74111	2524.314757	3317.423571	147.3934058	433.8441163	2505.239055	3196.716438
111	i:	111-F-BHC2	BHC2	1996	female	1306.649241	tiid	t	t	spon	207.54158	51.885395	390.4298422	2466.556523	3617.02663	103.77079	377.3247274	2318.306921	3656.898639	155.656185	438.8550538	2199.026672	3092.811409
111	i:	111-F-BHC2	BHC2	1996	female	1323.329704	tiid	t	d	spon	128.620864	32.155216	409.1697234	2762.550866	3113.084991	64.310432	409.0972371	2810.766712	2993.73701	96.465648	393.7868772	2623.0106	3057.881677
111	i:	111-F-BHC2	BHC2	1996	female	1323.643313	siik	s	k	spon	154.566075	38.64151875	409.5327975	2734.073613	3377.168702	77.2830375	367.1145534	2793.414979	3511.582875	115.9245563	347.2391815	2774.123788	3308.18234
113	i:	113-F-BHC2	BHC2	2000	male	2307.737363	tiid	t	t	spon	211.489529	52.87238225	332.6437878	2077.888593	2630.60437	105.7447645	338.5290172	2087.031334	2638.699413	158.6171468	413.6528987	2096.87325	2613.442919
113	i:	113-F-BHC2	BHC2	2000	male	2490.228653	fiif	f	v	spon	167.601683	41.90042075	423.5430794	2083.0578	2932.014882	83.8008415	340.4859948	2239.079255	3034.857597	125.7012623	424.015876	2007.82201	2919.406306
113	i:	113-F-BHC2	BHC2	2000	male	1452.37776	tiid	t	t	spon	146.501285	36.62532125	300.8004139	2237.968436	3219.478291	73.2506425	299.8201888	2223.295053	3221.116606	109.8759638	377.516888	2341.183697	3275.691188
113	i:	113-F-BHC2	BHC2	2000	male	2050.159731	bliid	l	t	spon	158.381841	39.59546025	267.5335353	1902.299654	2737.240684	79.1909205	319.486271	1839.760534	2557.45794	118.7863808	425.5966524	1686.025203	2678.814261
006	i:	006-F-BHC2	BHC2	1962	male	122.5152828	tiid	t	t	read	205.813417	51.45335425	333.2288976	2292.648471	2840.918529	102.9067085	361.2144308	2371.957888	2830.397963	154.3600628	329.2868983	2346.621756	2895.691081
