speaker	vowel	file	moment	birthyear	sex	timepoint	word	prevcons	folcons	read/spon	duration	timeA	F1A	F2A	F3A	timeB	F1B	F2B	F3B	timeC	F1C	F2C	F3C					
031	i:	031-F-BHC1	BHC1	1967	male	255.6179437	wiid	v	t	read	137.4813301	34.37033252	312.7681359	2216.113029	2712.960035	68.74066504	306.9159403	2264.482371	2764.78923	103.1109976	349.5651203	2143.562957	2751.497731					
031	i:	031-F-BHC1	BHC1	1967	male	1366.647184	piip	p	p	spontaneous	207.636359	51.90908976	399.6253407	2103.438294	2660.38665	103.8181795	307.8757381	2167.809488	2734.32847	155.7272693	312.7917431	2052.511012	2484.130897					
031	i:	031-F-BHC1	BHC1	1967	male	1495.453418	piip	p	p	spontaneous	173.8814524	43.4703631	333.5420559	2212.078467	2646.719361	86.9407262	295.8434293	2246.674006	2709.024504	130.4110893	321.5799606	2284.803976	2662.505969					
031	i:	031-F-BHC1	BHC1	1967	male	1560.601781	tiid	t	t	spontaneous	142.536113	35.63402826	367.7864921	2206.114037	2584.039639	71.26805652	354.5266244	2279.81778	2552.467615	106.9020848	333.9158979	2234.823822	2671.758388					
031	i:	031-F-BHC1	BHC1	1967	male	2261.316414	tiid	t	t	spontaneous	112.2827273	28.07068183	347.1405083	2014.218058	2520.59285	56.14136366	350.8817317	2059.133754	2544.567518	84.21204549	344.1986042	2057.716114	2545.64681					
037	i:	037-F-BHC1	BHC1	1962	female	1836.163914	fiif	f	f	spontaneous	201.5036567	50.37591418	287.9932785	2191.75208	2671.544987	100.7518284	294.8554865	2437.220104	2827.779429	151.1277425	300.1318056	2302.429185	2892.875847					
037	i:	037-F-BHC1	BHC1	1962	female	195.8317516	tiid	t	t	read	232.4982168	58.1245542	345.7750756	2320.572125	2631.557761	116.2491084	293.8718672	2326.194767	3152.755965	174.3736626	310.2742568	2262.807382	2797.846727					
037	i:	037-F-BHC1	BHC1	1962	female	165.1426702	wiif	v	f	read	301.0276827	75.25692069	280.0578967	2287.397102	3188.47956	150.5138414	292.3018313	2502.945153	3200.86457	225.7707621	296.6498995	2358.583488	2989.759893					
037	i:	037-F-BHC1	BHC1	1962	female	168.0255535	siik	s	k	read	271.8890744	67.97226859	263.0156464	2315.310415	2845.110498	135.9445372	272.1109118	2345.72981	2966.708379	203.9168058	275.1168218	2430.317597	2737.627699					
037	i:	037-F-BHC1	BHC1	1962	female	332.8501575	wiid	v	t	read	262.9475832	65.73689581	289.2940084	2413.591279	3045.859602	131.4737916	335.3018187	2547.515724	3397.981816	197.2106874	301.0383372	2678.462899	2780.377854					
037	i:	037-F-BHC1	BHC1	1962	female	1792.152692	tiisdeitemiddeis	t	s	spontaneous	174.7240129	43.68100323	359.7328699	2302.925075	2793.408978	87.36200647	297.5331067	2387.478763	2893.717047	131.0430097	280.1999137	2434.586826	2865.159137					
037	i:	037-F-BHC1	BHC1	1962	female	2507.845167	tiid	t	t	spontaneous	99.85105153	24.96276288	282.8951062	2393.058313	3214.432976	49.92552577	300.1642048	2509.070852	3141.535128	74.88828865	289.6630145	2139.596869	3449.223624					
